issn,journal_title,oa_model,apc,year,publisher
1464-3634,IMA Journal of Applied Mathematics,Hybrid,3743,2022,OUP
1471-6798,IMA Journal of Management Mathematics,Hybrid,3743,2022,OUP
1471-6887,IMA Journal of Mathematical Control and Information,Hybrid,3743,2022,OUP
1464-3642,IMA Journal of Numerical Analysis,Hybrid,3743,2022,OUP
2732-4303,Immunotherapy Advances,Open Access,2835,2022,OUP
2517-5025,in silico Plants,Open Access,1999,2022,OUP
1464-3650,Industrial and Corporate Change,Hybrid,4328,2022,OUP
1464-3669,Industrial Law Journal,Hybrid,4011,2022,OUP
1536-4844,Inflammatory Bowel Diseases,Hybrid,3417,2022,OUP
2049-8772,Information and Inference: A Journal of the IMA,Hybrid,3743,2022,OUP
2399-5300,Innovation in Aging,Open Access,3493,2022,OUP
2399-3421,Insect Systematics and Diversity,Hybrid,3829,2022,OUP
1557-7023,Integrative and Comparative Biology,Hybrid,3819,2022,OUP
1757-9708,Integrative Biology,Hybrid,3116,2022,OUP
2517-4843,Integrative Organismal Biology,Open Access,1800,2022,OUP
1873-7951,Interacting with Computers,Hybrid,3819,2022,OUP
1569-9285,Interactive CardioVascular and Thoracic Surgery,Open Access,2448,2022,OUP
1468-2346,International Affairs,Hybrid,4900,2022,OUP
2044-4001,International Data Privacy Law,Hybrid,4545,2022,OUP
1876-3405,International Health,Open Access,3164,2022,OUP
1460-2377,International Immunology,Hybrid,3698,2022,OUP
1464-3677,International Journal for Quality in Health Care,Hybrid,4011,2022,OUP
1474-2659,International Journal of Constitutional Law,Hybrid,3819,2022,OUP
1464-3685,International Journal of Epidemiology,Hybrid,4545,2022,OUP
1464-3693,International Journal of Law and Information Technology,Hybrid,4011,2022,OUP
1464-3707,"International Journal of Law, Policy and the Family",Hybrid,4013,2022,OUP
1477-4577,International Journal of Lexicography,Hybrid,4545,2022,OUP
1748-1325,International Journal of Low-Carbon Technologies,Open Access,2544,2022,OUP
1469-5111,International Journal of Neuropsychopharmacology,Open Access,2606,2022,OUP
2042-7174,International Journal of Pharmacy Practice,Hybrid,2802,2022,OUP
1471-6909,International Journal of Public Opinion Research,Hybrid,3086,2022,OUP
1464-3715,International Journal of Refugee Law,Hybrid,3922,2022,OUP
1752-7724,International Journal of Transitional Justice,Hybrid,4012,2022,OUP
1687-0247,International Mathematics Research Notices,Hybrid,4012,2022,OUP
1749-5687,International Political Sociology,Hybrid,3822,2022,OUP
1470-4838,International Relations of the Asia-Pacific,Hybrid,3366,2022,OUP
1528-3585,International Studies Perspectives,Hybrid,3822,2022,OUP
1468-2478,International Studies Quarterly,Hybrid,3822,2022,OUP
1468-2486,International Studies Review,Hybrid,3822,2022,OUP
1759-1090,ISLE: Interdisciplinary Studies in Literature and Environment,Hybrid,2060,2022,OUP
2632-1823,JAC-Antimicrobial Resistance,Open Access,2503,2022,OUP
2574-2531,JAMIA Open,Open Access,3100,2022,OUP
1465-3621,Japanese Journal of Clinical Oncology,Hybrid,3835,2022,OUP
2219-7117,Jerusalem Review of Legal Studies,Hybrid,4011,2022,OUP
2515-5091,JNCI Cancer Spectrum,Open Access,1575,2022,OUP
1460-2105,JNCI: Journal of the National Cancer Institute,Hybrid,4880,2022,OUP
1464-3723,Journal of African Economies,Hybrid,4770,2022,OUP
1945-2403,Journal of Analytical Toxicology,Hybrid,4267,2022,OUP
1525-3163,Journal of Animal Science,Hybrid,3728,2022,OUP
1460-2091,Journal of Antimicrobial Chemotherapy,Hybrid,3807,2022,OUP
2050-0696,Journal of Antitrust Enforcement,Hybrid,4011,2022,OUP
1944-7922,Journal of AOAC INTERNATIONAL,Hybrid,1653,2022,OUP
2631-6129,Journal of Breast Imaging,Hybrid,2480,2022,OUP
1559-0488,Journal of Burn Care & Research,Hybrid,3272,2022,OUP
1945-239X,Journal of Chromatographic Science,Hybrid,4267,2022,OUP
2040-4867,Journal of Church and State,Hybrid,3601,2022,OUP
1460-2466,Journal of Communication,Hybrid,3747,2022,OUP
1744-6422,Journal of Competition Law & Economics,Hybrid,4011,2022,OUP
2051-1329,Journal of Complex Networks,Hybrid,4011,2022,OUP
1083-6101,Journal of Computer-Mediated Communication,Open Access,0,2022,OUP
1467-7962,Journal of Conflict and Security Law,Hybrid,4013,2022,OUP
1537-5277,Journal of Consumer Research,Hybrid,3737,2022,OUP
1876-4479,Journal of Crohn's and Colitis,Hybrid,4328,2022,OUP
1937-240X,Journal of Crustacean Biology,Hybrid,3743,2022,OUP
2057-2093,Journal of Cybersecurity,Open Access,1810,2022,OUP
1741-7279,Journal of Design History,Hybrid,4244,2022,OUP
1938-291X,Journal of Economic Entomology,Hybrid,3829,2022,OUP
1468-2710,Journal of Economic Geography,Hybrid,4355,2022,OUP
1464-374X,Journal of Environmental Law,Hybrid,4013,2022,OUP
2041-7772,Journal of European Competition Law & Practice,Hybrid,4545,2022,OUP
1460-2431,Journal of Experimental Botany,Hybrid,3708,2022,OUP
1479-8417,Journal of Financial Econometrics,Hybrid,4292,2022,OUP
2053-4841,Journal of Financial Regulation,Hybrid,4011,2022,OUP
1938-3746,Journal of Forestry,Hybrid,3879,2022,OUP
1742-2140,Journal of Geophysics and Engineering,Open Access,1496,2022,OUP
2057-3189,Journal of Global Security Studies,Hybrid,3822,2022,OUP
1465-7333,Journal of Heredity,Hybrid,3150,2022,OUP
2054-8397,Journal of Hip Preservation Surgery,Open Access,1876,2022,OUP
1757-9627,Journal of Human Rights Practice,Hybrid,4011,2022,OUP
1476-5535,Journal of Industrial Microbiology and Biotechnology,Open Access,2500,2022,OUP
1536-2442,Journal of Insect Science,Open Access,1875,2022,OUP
2155-7470,Journal of Integrated Pest Management,Open Access,1015,2022,OUP
1747-1540,Journal of Intellectual Property Law & Practice,Hybrid,4545,2022,OUP
1478-1395,Journal of International Criminal Justice,Hybrid,4013,2022,OUP
2040-3593,Journal of International Dispute Settlement,Hybrid,4011,2022,OUP
1464-3758,Journal of International Economic Law,Hybrid,4013,2022,OUP
1471-6917,Journal of Islamic Studies,Hybrid,4074,2022,OUP
2058-458X,Journal of Language Evolution,Hybrid,3653,2022,OUP
2053-9711,Journal of Law and the Biosciences,Open Access,1617,2022,OUP
1946-5319,Journal of Legal Analysis,Open Access,0,2022,OUP
1465-363X,Journal of Logic and Computation,Hybrid,4011,2022,OUP
1545-1542,Journal of Mammalogy,Hybrid,2644,2022,OUP
1811-8216,Journal of Mechanics,Open Access,1650,2022,OUP
1938-2928,Journal of Medical Entomology,Hybrid,3829,2022,OUP
1759-4685,Journal of Molecular Cell Biology,Open Access,2590,2022,OUP
1464-3766,Journal of Molluscan Studies,Hybrid,3819,2022,OUP
2053-7395,Journal of Music Therapy,Hybrid,3306,2022,OUP
1554-6578,Journal of Neuropathology & Experimental Neurology,Hybrid,4456,2022,OUP
1465-735X,Journal of Pediatric Psychology,Hybrid,3833,2022,OUP
1460-2415,Journal of Petrology,Hybrid,3852,2022,OUP
1759-8893,Journal of Pharmaceutical Health Services Research,Hybrid,2802,2022,OUP
2042-7158,Journal of Pharmacy and Pharmacology,Hybrid,3502,2022,OUP
1464-3774,Journal of Plankton Research,Hybrid,4011,2022,OUP
1752-993X,Journal of Plant Ecology,Open Access,2085,2022,OUP
2051-8811,Journal of Professions and Organization,Hybrid,3098,2022,OUP
1477-9803,Journal of Public Administration Research and Theory,Hybrid,3564,2022,OUP
1741-3850,Journal of Public Health,Hybrid,3527,2022,OUP
1349-9157,Journal of Radiation Research,Open Access,2472,2022,OUP
1471-6925,Journal of Refugee Studies,Hybrid,4011,2022,OUP
1477-4593,Journal of Semantics,Hybrid,4545,2022,OUP
1477-8556,Journal of Semitic Studies,Hybrid,3743,2022,OUP
1527-1897,Journal of Social History,Hybrid,2169,2022,OUP
2042-8812,Journal of Surgical Case Reports,Open Access,840,2022,OUP
2752-616X,Journal of Surgical Protocols and Research Methodologies,Open Access,1250,2022,OUP
2325-0992,Journal of Survey Statistics and Methodology,Hybrid,3512,2022,OUP
1477-4585,Journal of the American Academy of Religion,Hybrid,3000,2022,OUP
1527-974X,Journal of the American Medical Informatics Association,Hybrid,4259,2022,OUP
2515-2092,Journal of the Canadian Association of Gastroenterology,Open Access,1898,2022,OUP
2472-1972,Journal of the Endocrine Society,Open Access,2625,2022,OUP
1542-4774,Journal of the European Economic Association,Hybrid,4669,2022,OUP
1477-8564,Journal of the History of Collections,Hybrid,3832,2022,OUP
1468-4373,Journal of the History of Medicine and Allied Sciences,Hybrid,3935,2022,OUP
2048-7207,Journal of the Pediatric Infectious Diseases Society,Hybrid,4164,2022,OUP
1708-8305,Journal of Travel Mediciner,Hybrid,4074,2022,OUP
1465-3664,Journal of Tropical Pediatrics,Hybrid,2875,2022,OUP
2058-5543,Journal of Urban Ecology,Open Access,1224,2022,OUP
1750-0133,Journal of Victorian Culture,Hybrid,3697,2022,OUP
1943-7730,Laboratory Medicine,Hybrid,4173,2022,OUP
1470-840X,"Law, Probability and Risk",Hybrid,4011,2022,OUP
1752-6566,Literary Imagination,Hybrid,2951,2022,OUP
1477-4623,Literature and Theology,Hybrid,3743,2022,OUP
1368-9894,Logic Journal of the IGPL,Hybrid,4011,2022,OUP
2050-6333,London Review of International Law,Hybrid,4013,2022,OUP
1545-1410,Mammalian Species,Hybrid,2644,2022,OUP
1477-8602,Mathematical Medicine and Biology: A Journal of the IMA,Hybrid,3743,2022,OUP
1464-3790,Medical Law Review,Hybrid,4013,2022,OUP
1460-2709,Medical Mycology,Hybrid,4326,2022,OUP
1946-3170,MELUS,Hybrid,2060,2022,OUP
1756-591X,Metallomics,Hybrid,2241,2022,OUP
2633-6693,microLife,Open Access,3090,2022,OUP
2050-5701,Microscopy,Hybrid,3500,2022,OUP
2049-5846,Migration Studies,Hybrid,4219,2022,OUP
1930-613X,Military Medicine,Hybrid,4201,2022,OUP
1460-2113,Mind,Hybrid,3914,2022,OUP
1086-3273,Modern Judaism - A Journal of Jewish Ideas and Experience,Hybrid,2722,2022,OUP
1439-7609,Modern Rheumatology,Hybrid,2995,2022,OUP
2472-5625,Modern Rheumatology Case Reports,Hybrid,1000,2022,OUP
1537-1719,Molecular Biology and Evolution,Open Access,3255,2022,OUP
1460-2407,Molecular human reproduction,Hybrid,4328,2022,OUP
1365-2966,Monthly Notices of the Royal Astronomical Society,Hybrid,3344,2022,OUP
1745-3933,Monthly Notices of the Royal Astronomical Society: Letters,Hybrid,3344,2022,OUP
1477-4631,Music and Letters,Hybrid,4188,2022,OUP
1533-8339,Music Theory Spectrum,Hybrid,3807,2022,OUP
2053-7387,Music Therapy Perspectives,Hybrid,3306,2022,OUP
1464-3804,Mutagenesis,Hybrid,4197,2022,OUP
2632-8674,NAR Cancer,Open Access,2101,2022,OUP
2631-9268,NAR Genomics and Bioinformatics,Open Access,2472,2022,OUP
2053-714X,National Science Review,Open Access,1904,2022,OUP
1460-2385,Nephrology Dialysis Transplantation,Hybrid,3820,2022,OUP
1523-5866,Neuro-Oncology,Hybrid,4456,2022,OUP
2632-2498,Neuro-Oncology Advances,Open Access,2206,2022,OUP
2054-2585,Neuro-Oncology Practice,Hybrid,4456,2022,OUP
2057-2107,Neuroscience of Consciousness,Open Access,2093,2022,OUP
1469-994X,Nicotine and Tobacco Research,Hybrid,4774,2022,OUP
1471-6941,Notes and Queries,Hybrid,2916,2022,OUP
1362-4962,Nucleic Acids Research,Open Access,3876,2022,OUP
1753-4887,Nutrition Reviews,Hybrid,4408,2022,OUP
1471-8405,Occupational Medicine,Hybrid,3949,2022,OUP
2328-8957,Open Forum Infectious Diseases,Open Access,3569,2022,OUP
1741-7287,Oxford Art Journal,Hybrid,3498,2022,OUP
1464-3812,Oxford Economic Papers,Hybrid,5337,2022,OUP
2047-0789,Oxford Journal of Law and Religion,Hybrid,4011,2022,OUP
1464-3820,Oxford Journal of Legal Studies,Hybrid,4011,2022,OUP
2053-8855,Oxford Medical Case Reports,Open Access,1090,2022,OUP
2634-4068,Oxford Open Climate Change,Open Access,1650,2022,OUP
2752-5074,Oxford Open Economics,Open Access,1350,2022,OUP
2752-5082,Oxford Open Energy,Open Access,2040,2022,OUP
2633-6960,Oxford Open Immunology,Open Access,2176,2022,OUP
2633-6979,Oxford Open Materials Science,Open Access,2040,2022,OUP
2753-149X,Oxford Open Neuroscience,Open Access,2400,2022,OUP
1460-2121,Oxford Review of Economic Policy,Hybrid,5070,2022,OUP
1918-1485,Paediatrics & Child Health,Hybrid,4408,2022,OUP
1526-4637,Pain Medicine,Hybrid,4456,2022,OUP
1460-2482,Parliamentary Affairs,Hybrid,4391,2022,OUP
1477-464X,Past & Present,Hybrid,4285,2022,OUP
2049-632X,Pathogens and Disease,Hybrid,3435,2022,OUP
2398-4929,Perspectives on Public Management and Governance,Hybrid,3564,2022,OUP
1744-6406,Philosophia Mathematica,Hybrid,4011,2022,OUP
1538-6724,Physical Therapy,Hybrid,3749,2022,OUP
1471-9053,Plant and Cell Physiology,Hybrid,3200,2022,OUP
1532-2548,Plant Physiology,Hybrid,3296,2022,OUP
2752-6542,PNAS Nexus,Open Access,4000,2022,OUP
1752-4520,Policing: A Journal of Policy and Practice,Hybrid,4011,2022,OUP
1839-3373,Policy and Society,Open Access,1496,2022,OUP
2516-1571,Precision Clinical Medicine,Open Access,0,2022,OUP
1467-9264,Proceedings of the Aristotelian Society,Hybrid,3935,2022,OUP
2050-3911,Progress of Theoretical and Experimental Physics,Open Access,0,2022,OUP
1741-0134,"Protein Engineering, Design and Selection",Hybrid,4119,2022,OUP
2634-4416,Psychoradiology,Open Access,0,2022,OUP
1754-9981,Public Health Ethics,Hybrid,3472,2022,OUP
1537-5331,Public Opinion Quarterly,Hybrid,3512,2022,OUP
2053-4892,Public Policy & Aging Report,Hybrid,4056,2022,OUP
2053-051X,Publications of the Astronomical Society of Japan,Hybrid,3172,2022,OUP
1747-7107,Publius: The Journal of Federalism,Hybrid,3688,2022,OUP
2633-9048,Q Open,Open Access,1650,2022,OUP
1460-2393,QJM: An International Journal of Medicine,Hybrid,4408,2022,OUP
1742-3406,Radiation Protection Dosimetry,Hybrid,4011,2022,OUP
1471-695X,Refugee Survey Quarterly,Hybrid,4011,2022,OUP
2056-3426,Regenerative Biomaterials,Open Access,1632,2022,OUP
1471-5449,Research Evaluation,Hybrid,3254,2022,OUP
1573-692X,Review of Finance,Hybrid,4850,2022,OUP
1462-0332,Rheumatology,Hybrid,4352,2022,OUP
2514-1775,Rheumatology Advances in Practice,Open Access,2855,2022,OUP
1745-1701,Schizophrenia Bulletin,Hybrid,4408,2022,OUP
2632-7899,Schizophrenia Bulletin Open,Open Access,2318,2022,OUP
1471-5430,Science and Public Policy,Hybrid,3827,2022,OUP
1460-2474,Screen,Hybrid,3819,2022,OUP
1550-9109,SLEEP,Hybrid,3939,2022,OUP
2632-5012,SLEEP Advances,Open Access,1750,2022,OUP
1749-5024,Social Cognitive and Affective Neuroscience,Open Access,2055,2022,OUP
1534-7605,Social Forces,Hybrid,3673,2022,OUP
1477-4666,Social History of Medicine,Hybrid,3851,2022,OUP
1468-2893,"Social Politics: International Studies in Gender, State & Society",Hybrid,3807,2022,OUP
1533-8533,Social Problems,Hybrid,3604,2022,OUP
1468-2680,Social Science Japan Journal,Hybrid,3366,2022,OUP
1475-147X,Socio-Economic Review,Hybrid,3743,2022,OUP
1759-8818,Sociology of Religion,Hybrid,3090,2022,OUP
1464-3863,Statute Law Review,Hybrid,4013,2022,OUP
1549-4918 ,Stem Cells ,Hybrid,4000,2022,OUP
2157-6580,Stem Cells: Translational Medicine,Open Access,2500,2022,OUP
2397-7000,Synthetic Biology,Open Access,3179,2022,OUP
1076-836X,Systematic Biology,Hybrid,1984,2022,OUP
1471-6976,Teaching Mathematics and its Applications: An International Journal of the IMA,Hybrid,3743,2022,OUP
1938-3207,The American Journal of Clinical Nutrition,Hybrid,5350,2022,OUP
2326-9197,The American Journal of Comparative Law,Hybrid,3895,2022,OUP
2049-6494,The American Journal of Jurisprudence,Hybrid,4011,2022,OUP
2732-4613,Ornitholology (formerly known as AUK),Hybrid,3290,2022,OUP
1468-2842,The British Journal of Aesthetics,Hybrid,3743,2022,OUP
1464-3529,The British Journal of Criminology,Hybrid,5376,2022,OUP
1468-263X,The British Journal of Social Work,Hybrid,4452,2022,OUP
1471-6836,The Cambridge Quarterly,Hybrid,3743,2022,OUP
2050-4810,The Chinese Journal of Comparative Law,Hybrid,3626,2022,OUP
1750-8924,The Chinese Journal of International Politics,Hybrid,3626,2022,OUP
1460-2067,The Computer Journal,Hybrid,3819,2022,OUP
1938-5129,Ornithological Applications (formerly The Condor),Hybrid,3290,2022,OUP
1367-423X,The Econometrics Journal,Hybrid,4130,2022,OUP
1468-0297,The Economic Journal,Hybrid,4130,2022,OUP
1477-4534,The English Historical Review,Hybrid,4011,2022,OUP
1758-5341,The Gerontologist,Hybrid,4056,2022,OUP
1540-6245,The Journal of Aesthetics and Art Criticism,Hybrid,3090,2022,OUP
2475-7241,The Journal of Applied Laboratory Medicine,Hybrid,3857,2022,OUP
1756-2651,The Journal of Biochemistry,Hybrid,3450,2022,OUP
1945-7197,The Journal of Clinical Endocrinology & Metabolism,Hybrid,3090,2022,OUP
1465-7325,The Journal of Deaf Studies and Deaf Education,Hybrid,3860,2022,OUP
1756-4263,The Journal of Hindu Studies,Hybrid,3395,2022,OUP
1537-6613,The Journal of Infectious Diseases,Hybrid,4174,2022,OUP
1465-7341,"The Journal of Law, Economics, and Organization",Hybrid,3633,2022,OUP
1744-5019,The Journal of Medicine and Philosophy: A Forum for Bioethics and Philosophy of Medicine,Hybrid,3515,2022,OUP
1541-6100,The Journal of Nutrition,Hybrid,5350,2022,OUP
1477-4607,The Journal of Theological Studies,Hybrid,4074,2022,OUP
1754-9965,The Journal of World Energy Law & Business,Hybrid,4011,2022,OUP
1758-535X,The Journals of Gerontology: Series A,Hybrid,4056,2022,OUP
1758-5368,The Journals of Gerontology: Series B,Hybrid,4056,2022,OUP
1758-437X,The Leo Baeck Institute Year Book,Hybrid,3743,2022,OUP
1744-8581,The Library,Hybrid,3807,2022,OUP
2153-3601,The Monist,Hybrid,3571,2022,OUP
1741-8399,The Musical Quarterly,Hybrid,4074,2022,OUP
1549-490X,The Oncologist,Open Access,3250,2022,OUP
1476-2870,The Opera Quarterly,Hybrid,4074,2022,OUP
1467-9213,The Philosophical Quarterly,Hybrid,4192,2022,OUP
1532-298X,The Plant Cell,Hybrid,4223,2022,OUP
1531-4650,The Quarterly Journal of Economics,Hybrid,6741,2022,OUP
1464-3847,The Quarterly Journal of Mathematics,Hybrid,4012,2022,OUP
1464-3855,The Quarterly Journal of Mechanics and Applied Mathematics,Hybrid,3743,2022,OUP
2045-9939,The Review of Asset Pricing Studies,Hybrid,3598,2022,OUP
2046-9136,The Review of Corporate Finance Studies,Hybrid,3598,2022,OUP
1467-937X,The Review of Economic Studies,Hybrid,6741,2022,OUP
1471-6968,The Review of English Studies,Hybrid,4408,2022,OUP
1465-7368,The Review of Financial Studies,Hybrid,3598,2022,OUP
1564-698X,The World Bank Economic Review,Hybrid,3527,2022,OUP
1564-6971,The World Bank Research Observer,Hybrid,3527,2022,OUP
1096-0929,Toxicological Sciences,Hybrid,4133,2022,OUP
2045-4538,Toxicology Research,Hybrid,2266,2022,OUP
2398-4945,Transactions of Mathematics and Its Applications,Open Access,1321,2022,OUP
1878-3503,Transactions of The Royal Society of Tropical Medicine and Hygiene,Hybrid,3677,2022,OUP
2573-2102,Translational Animal Science,Open Access,2750,2022,OUP
1613-9860,Translational Behavioral Medicine,Hybrid,3763,2022,OUP
2631-4428,Transportation Safety and Environment,Open Access,0,2022,OUP
1758-4469,Tree Physiology,Hybrid,3894,2022,OUP
1752-2110,Trusts & Trustees,Hybrid,4011,2022,OUP
1477-4674,Twentieth Century British History,Hybrid,4011,2022,OUP
2050-9065,Uniform Law Review,Hybrid,4011,2022,OUP
2057-1577,Virus Evolution,Open Access,2998,2022,OUP
2054-4650,"Work, Aging and Retirement",Hybrid,3713,2022,OUP
2045-0044,Yearbook of European Law,Hybrid,4011,2022,OUP
2045-0052,Yearbook of International Environmental Law,Hybrid,4013,2022,OUP
1096-3642,Zoological Journal of the Linnean Society,Hybrid,3564,2022,OUP
1687-0409,Abstract and Applied Analysis,Open Access,1025,2022,Hindawi
1563-5031,Active and Passive Electronic Components,Open Access,900,2022,Hindawi
2048-4038,Adsorption Science & Technology,Open Access,1350,2022,Hindawi
2314-7539,Advances in Agriculture,Open Access,775,2022,Hindawi
1687-7977,Advances in Astronomy,Open Access,1025,2022,Hindawi
2573-8461,Advances in Cell and Gene Therapy,Open Access,750,2022,Hindawi
1687-8094,Advances in Civil Engineering,Open Access,2550,2022,Hindawi
1687-8124,Advances in Condensed Matter Physics,Open Access,1450,2022,Hindawi
1687-711X,Advances in Fuzzy Systems,Open Access,900,2022,Hindawi
1687-9112,Advances in Hematology,Open Access,775,2022,Hindawi
1687-7365,Advances in High Energy Physics,Open Access,1450,2022,Hindawi
1687-5907,Advances in Human-Computer Interaction,Open Access,900,2022,Hindawi
1687-8442,Advances in Materials Science and Engineering,Open Access,2500,2022,Hindawi
1687-9139,Advances in Mathematical Physics,Open Access,2300,2022,Hindawi
2314-758X,Advances in Medicine,Open Access,775,2022,Hindawi
1687-9317,Advances in Meteorology,Open Access,1450,2022,Hindawi
1687-5699,Advances in Multimedia,Open Access,900,2022,Hindawi
1687-9155,Advances in Operations Research,Open Access,1025,2022,Hindawi
2090-3472,Advances in Orthopedics,Open Access,900,2022,Hindawi
2633-4690,Advances in Pharmacological and Pharmaceutical Sciences,Open Access,900,2022,Hindawi
1098-2329,Advances in Polymer Technology,Open Access,1975,2022,Hindawi
2090-3499,Advances in Preventive Medicine,Open Access,775,2022,Hindawi
2314-7784,Advances in Public Health,Open Access,900,2022,Hindawi
1687-5923,Advances in Tribology,Open Access,900,2022,Hindawi
1687-6377,Advances in Urology,Open Access,900,2022,Hindawi
1687-8647,Advances in Virology,Open Access,900,2022,Hindawi
2090-1259,AIDS Research and Treatment,Open Access,900,2022,Hindawi
2210-7185,Analytical Cellular Pathology,Open Access,1975,2022,Hindawi
2090-1275,Anemia,Open Access,900,2022,Hindawi
1687-6970,Anesthesiology Research and Practice,Open Access,900,2022,Hindawi
1687-7675,Applied and Environmental Soil Science,Open Access,900,2022,Hindawi
1754-2103,Applied Bionics and Biomechanics,Open Access,1450,2022,Hindawi
1687-9732,Applied Computational Intelligence and Soft Computing,Open Access,900,2022,Hindawi
1365-2095,Aquaculture Nutrition,Open Access,2100,2022,Hindawi
1472-3654,Archaea,Open Access,1450,2022,Hindawi
2090-1933,Autism Research and Treatment,Open Access,775,2022,Hindawi
2090-0430,Autoimmune Diseases,Open Access,900,2022,Hindawi
1875-8584,Behavioural Neurology,Open Access,1450,2022,Hindawi
2090-2255,Biochemistry Research International,Open Access,900,2022,Hindawi
1687-479X,Bioinorganic Chemistry and Applications,Open Access,1450,2022,Hindawi
2314-6141,BioMed Research International,Open Access,2550,2022,Hindawi
2291-2797,Canadian Journal of Gastroenterology and Hepatology,Open Access,2300,2022,Hindawi
1918-1493,Canadian Journal of Infectious Diseases and Medical Microbiology,Open Access,1975,2022,Hindawi
1916-7245,Canadian Respiratory Journal,Open Access,1975,2022,Hindawi
2090-0597,Cardiology Research and Practice,Open Access,2300,2022,Hindawi
1755-5922,Cardiovascular Therapeutics,Open Access,1975,2022,Hindawi
2090-6390,Case Reports in Anesthesiology,Open Access,700,2022,Hindawi
2090-6412,Case Reports in Cardiology,Open Access,700,2022,Hindawi
2090-6439,Case Reports in Critical Care,Open Access,700,2022,Hindawi
2090-6455,Case Reports in Dentistry,Open Access,700,2022,Hindawi
2090-6471,Case Reports in Dermatological Medicine,Open Access,700,2022,Hindawi
2090-6498,Case Reports in Emergency Medicine,Open Access,700,2022,Hindawi
2090-651X,Case Reports in Endocrinology,Open Access,700,2022,Hindawi
2090-6536,Case Reports in Gastrointestinal Medicine,Open Access,700,2022,Hindawi
2090-6552,Case Reports in Genetics,Open Access,700,2022,Hindawi
2090-6579,Case Reports in Hematology,Open Access,700,2022,Hindawi
2090-6595,Case Reports in Hepatology,Open Access,700,2022,Hindawi
2090-6617,Case Reports in Immunology,Open Access,700,2022,Hindawi
2090-6633,Case Reports in Infectious Diseases,Open Access,700,2022,Hindawi
1687-9635,Case Reports in Medicine,Open Access,700,2022,Hindawi
2090-665X,Case Reports in Nephrology,Open Access,700,2022,Hindawi
2090-6676,Case Reports in Neurological Medicine,Open Access,700,2022,Hindawi
2090-6692,Case Reports in Obstetrics and Gynecology,Open Access,700,2022,Hindawi
2090-6714,Case Reports in Oncological Medicine,Open Access,700,2022,Hindawi
2090-6730,Case Reports in Ophthalmological Medicine,Open Access,700,2022,Hindawi
2090-6757,Case Reports in Orthopedics,Open Access,700,2022,Hindawi
2090-6773,Case Reports in Otolaryngology,Open Access,700,2022,Hindawi
2090-679X,Case Reports in Pathology,Open Access,700,2022,Hindawi
2090-6811,Case Reports in Pediatrics,Open Access,700,2022,Hindawi
2090-6838,Case Reports in Psychiatry,Open Access,700,2022,Hindawi
2090-6854,Case Reports in Pulmonology,Open Access,700,2022,Hindawi
2090-6870,Case Reports in Radiology,Open Access,700,2022,Hindawi
2090-6897,Case Reports in Rheumatology,Open Access,700,2022,Hindawi
2090-6919,Case Reports in Surgery,Open Access,700,2022,Hindawi
2090-6951,Case Reports in Transplantation,Open Access,700,2022,Hindawi
2090-6978,Case Reports in Urology,Open Access,700,2022,Hindawi
2090-6994,Case Reports in Vascular Medicine,Open Access,700,2022,Hindawi
2090-701X,Case Reports in Veterinary Medicine,Open Access,700,2022,Hindawi
1462-5822,Cellular Microbiology,Open Access,2100,2022,Hindawi
1099-0526,Complexity,Open Access,2500,2022,Hindawi
2577-7408,Computational and Mathematical Methods,Open Access,750,2022,Hindawi
1748-6718,Computational and Mathematical Methods in Medicine,Open Access,2300,2022,Hindawi
1687-5273,Computational Intelligence and Neuroscience,Open Access,2300,2022,Hindawi
1552-5023,"Concepts in Magnetic Resonance Part A, Bridging Education and Research",Open Access,1450,2022,Hindawi
1552-504X,"Concepts in Magnetic Resonance Part B, Magnetic Resonance Engineering",Open Access,1450,2022,Hindawi
1555-4317,Contrast Media & Molecular Imaging,Open Access,1450,2022,Hindawi
2090-1313,Critical Care Research and Practice,Open Access,900,2022,Hindawi
1687-7071,Current Gerontology and Geriatrics Research,Open Access,775,2022,Hindawi
2090-133X,Depression Research and Treatment,Open Access,775,2022,Hindawi
1687-6113,Dermatology Research and Practice,Open Access,900,2022,Hindawi
1607-887X,Discrete Dynamics in Nature and Society,Open Access,2300,2022,Hindawi
1875-8630,Disease Markers,Open Access,2500,2022,Hindawi
2090-4010,Education Research International,Open Access,1025,2022,Hindawi
2090-2859,Emergency Medicine International,Open Access,1975,2022,Hindawi
1741-4288,Evidence-Based Complementary and Alternative Medicine,Open Access,2550,2022,Hindawi
1687-630X,Gastroenterology Research and Practice,Open Access,2300,2022,Hindawi
1478-1239,GastroHep,Open Access,750,2022,Hindawi
1469-5073,Genetics Research,Open Access,1900,2022,Hindawi
1468-8123,Geofluids,Open Access,1975,2022,Hindawi
2054-4200,"Global Health, Epidemiology and Genomics",Open Access,1350,2022,Hindawi
1098-1071,Heteroatom Chemistry,Open Access,1450,2022,Hindawi
2578-1863,Human Behavior and Emerging Technologies,Open Access,750,2022,Hindawi
1098-0997,Infectious Diseases in Obstetrics and Gynecology,Open Access,775,2022,Hindawi
1687-7098,Interdisciplinary Perspectives on Infectious Diseases,Open Access,775,2022,Hindawi
1687-5974,International Journal of Aerospace Engineering,Open Access,2300,2022,Hindawi
1687-8167,International Journal of Agronomy,Open Access,900,2022,Hindawi
